name,parent,value
History,France,840
Horror,France,725
Music,France,371
Musical,France,184
Mystery,France,963
Romance,France,2745
Sci-Fi,France,377
Sport,France,81
Thriller,France,1706
War,France,646
Western,France,160
Action,Georgia,5
Adventure,Georgia,2
Biography,Georgia,3
Comedy,Georgia,26
Crime,Georgia,6
Drama,Georgia,108
History,Georgia,4
Horror,Georgia,5
Mystery,Georgia,7
Romance,Georgia,19
Thriller,Georgia,3
War,Georgia,18
Action,Germany,1141
Adventure,Germany,1170
Animation,Germany,366
Biography,Germany,620
Comedy,Germany,2794
Crime,Germany,1395
Drama,Germany,7255
Family,Germany,510
Fantasy,Germany,595
History,Germany,513
Horror,Germany,714
Music,Germany,271
Musical,Germany,126
Mystery,Germany,727
Romance,Germany,1623
Sci-Fi,Germany,370
Sport,Germany,95
Thriller,Germany,1288
War,Germany,487
Western,Germany,177
Action,Ghana,2
Adventure,Ghana,2
Drama,Ghana,16
History,Ghana,3
Romance,Ghana,3
Thriller,Ghana,4
Action,Gibraltar,1
Drama,Gibraltar,1
Action,Greece,27
Adventure,Greece,30
Animation,Greece,6
Biography,Greece,24
Comedy,Greece,467
Crime,Greece,99
Drama,Greece,727
Family,Greece,21
Fantasy,Greece,25
History,Greece,33
Horror,Greece,21
Music,Greece,13
Musical,Greece,41
Mystery,Greece,54
Romance,Greece,204
Sci-Fi,Greece,17
Sport,Greece,1
Thriller,Greece,70
War,Greece,31
Western,Greece,2
Adventure,Greenland,2
Drama,Greenland,10
Romance,Greenland,1
Adventure,Guadeloupe,3
Animation,Guadeloupe,3
Comedy,Guadeloupe,3
Adventure,Guatemala,6
Animation,Guatemala,3
Comedy,Guatemala,1
Drama,Guatemala,24
Family,Guatemala,3
Horror,Guatemala,2
Romance,Guatemala,3
Thriller,Guatemala,2
Comedy,Guinea,2
Drama,Guinea,4
Family,Guinea,2
Drama,Guinea-Bissau,5
Action,Haiti,6
Biography,Haiti,4
Drama,Haiti,19
History,Haiti,8
Horror,Haiti,2
Mystery,Haiti,2
Romance,Haiti,3
Thriller,Haiti,2
War,Haiti,4
Biography,Holy See (Vatican City State),2
Drama,Holy See (Vatican City State),2
Comedy,Honduras,1
Drama,Honduras,3
Romance,Honduras,2
Sci-Fi,Honduras,1
Action,Hong Kong,1469
Adventure,Hong Kong,311
Animation,Hong Kong,58
Biography,Hong Kong,59
Comedy,Hong Kong,819
Crime,Hong Kong,515
Drama,Hong Kong,1252
Family,Hong Kong,35
Fantasy,Hong Kong,196
History,Hong Kong,94
Horror,Hong Kong,198
Music,Hong Kong,19
Musical,Hong Kong,14
Mystery,Hong Kong,82
Romance,Hong Kong,402
